id,month,country,hbt,treatment_location,department_type,number_of_attendances_aggregate,number_of_attendances_episode,number_of_attendances_episode_qf,number_meeting_target_aggregate,number_meeting_target_episode,number_meeting_target_episode_qf,discharge_destination_admission_to_same,discharge_destination_admission_to_same_qf,discharge_destination_other_specialty,discharge_destination_other_specialty_qf,discharge_destination_residence,discharge_destination_residence_qf,discharge_destination_transfer,discharge_destination_transfer_qf,discharge_destination_unknown,discharge_destination_unknown_qf,attendance_greater8hrs,attendance_greater8hrs_qf,attendance_greater12hrs,attendance_greater12hrs_qf,date,year
11,7,S92000003,S08000017,Y106H,Minor Injury Unit or Other,83,NA,z,83,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
12,7,S92000003,S08000017,Y109H,Minor Injury Unit or Other,7,NA,z,7,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
13,7,S92000003,S08000017,Y110H,Minor Injury Unit or Other,85,NA,z,85,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
14,7,S92000003,S08000017,Y144H,Emergency Department,1189,NA,z,1167,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
15,7,S92000003,S08000017,Y146H,Emergency Department,2970,2970,NA,2862,2862,NA,900,NA,5,NA,1984,NA,19,NA,62,NA,0,NA,0,NA,2007-07-01,2007
16,7,S92000003,S08000029,F704H,Emergency Department,3912,3912,NA,3703,3703,NA,677,NA,53,NA,3051,NA,33,NA,98,NA,6,NA,1,NA,2007-07-01,2007
17,7,S92000003,S08000029,F708H,Minor Injury Unit or Other,174,NA,z,174,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
18,7,S92000003,S08000029,F709H,Minor Injury Unit or Other,282,NA,z,282,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
19,7,S92000003,S08000029,F805H,Emergency Department,3638,3638,NA,3570,3570,NA,762,NA,152,NA,2655,NA,38,NA,31,NA,2,NA,0,NA,2007-07-01,2007
20,7,S92000003,S08000019,V102H,Minor Injury Unit or Other,1772,1772,NA,1768,1768,NA,0,NA,0,NA,1283,NA,199,NA,290,NA,0,NA,0,NA,2007-07-01,2007
21,7,S92000003,S08000019,V201H,Emergency Department,4195,4195,NA,4003,4003,NA,1133,NA,14,NA,2421,NA,34,NA,593,NA,5,NA,1,NA,2007-07-01,2007
22,7,S92000003,S08000020,N101H,Emergency Department,5312,5312,NA,5168,5168,NA,1236,NA,29,NA,3918,NA,97,NA,32,NA,8,NA,0,NA,2007-07-01,2007
23,7,S92000003,S08000020,N121H,Emergency Department,1333,1333,NA,1324,1324,NA,335,NA,0,NA,997,NA,1,NA,0,NA,0,NA,0,NA,2007-07-01,2007
24,7,S92000003,S08000020,N151H,Minor Injury Unit or Other,72,NA,z,72,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
25,7,S92000003,S08000020,N331H,Minor Injury Unit or Other,40,NA,z,40,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
26,7,S92000003,S08000020,N332H,Minor Injury Unit or Other,62,NA,z,62,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
27,7,S92000003,S08000020,N333H,Minor Injury Unit or Other,1114,NA,z,1113,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
28,7,S92000003,S08000020,N334H,Minor Injury Unit or Other,904,NA,z,898,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
29,7,S92000003,S08000020,N335H,Minor Injury Unit or Other,279,NA,z,277,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
30,7,S92000003,S08000020,N336H,Minor Injury Unit or Other,178,NA,z,178,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
31,7,S92000003,S08000020,N337H,Minor Injury Unit or Other,359,NA,z,359,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
32,7,S92000003,S08000020,N411H,Emergency Department,1925,1925,NA,1850,1850,NA,465,NA,3,NA,1409,NA,22,NA,26,NA,1,NA,1,NA,2007-07-01,2007
33,7,S92000003,S08000020,N431H,Minor Injury Unit or Other,107,NA,z,107,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
34,7,S92000003,S08000020,N432H,Minor Injury Unit or Other,37,NA,z,37,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
35,7,S92000003,S08000020,N433H,Minor Injury Unit or Other,113,NA,z,113,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
36,7,S92000003,S08000020,N434H,Minor Injury Unit or Other,62,NA,z,62,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
37,7,S92000003,S08000020,N451H,Minor Injury Unit or Other,32,NA,z,32,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
38,7,S92000003,S08000020,N494H,Minor Injury Unit or Other,153,153,NA,153,153,NA,0,NA,0,NA,130,NA,23,NA,0,NA,0,NA,0,NA,2007-07-01,2007
39,7,S92000003,S08000031,C206H,Minor Injury Unit or Other,1382,1382,NA,1354,1354,NA,348,NA,3,NA,963,NA,65,NA,3,NA,1,NA,1,NA,2007-07-01,2007
40,7,S92000003,S08000031,C313H,Emergency Department,2693,2693,NA,2648,2648,NA,550,NA,6,NA,1973,NA,34,NA,130,NA,1,NA,0,NA,2007-07-01,2007
41,7,S92000003,S08000031,C418H,Emergency Department,5479,5479,NA,5324,5324,NA,1473,NA,9,NA,3624,NA,58,NA,315,NA,4,NA,0,NA,2007-07-01,2007
42,7,S92000003,S08000031,G107H,Emergency Department,6200,6200,NA,5951,5951,NA,1697,NA,16,NA,4054,NA,115,NA,318,NA,6,NA,2,NA,2007-07-01,2007
43,7,S92000003,S08000031,G207H,Emergency Department,3390,3390,NA,3264,3264,NA,1014,NA,2,NA,2203,NA,30,NA,141,NA,1,NA,0,NA,2007-07-01,2007
44,7,S92000003,S08000031,G306H,Emergency Department,5864,5864,NA,5744,5744,NA,1583,NA,14,NA,4043,NA,137,NA,87,NA,1,NA,0,NA,2007-07-01,2007
45,7,S92000003,S08000031,G405H,Emergency Department,4186,4186,NA,3952,3952,NA,1094,NA,11,NA,2927,NA,38,NA,116,NA,4,NA,0,NA,2007-07-01,2007
46,7,S92000003,S08000031,G513H,Emergency Department,2981,2981,NA,2942,2942,NA,524,NA,3,NA,2438,NA,5,NA,11,NA,1,NA,0,NA,2007-07-01,2007
47,7,S92000003,S08000031,G516H,Emergency Department,5040,5040,NA,4529,4529,NA,1607,NA,19,NA,2917,NA,116,NA,381,NA,40,NA,6,NA,2007-07-01,2007
48,7,S92000003,S08000022,C103B,Minor Injury Unit or Other,401,NA,z,401,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
49,7,S92000003,S08000022,C106H,Minor Injury Unit or Other,615,NA,z,612,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
50,7,S92000003,S08000022,C108H,Minor Injury Unit or Other,110,NA,z,110,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
51,7,S92000003,S08000022,C110H,Minor Injury Unit or Other,468,NA,z,467,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
52,7,S92000003,S08000022,C113H,Minor Injury Unit or Other,369,NA,z,363,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
53,7,S92000003,S08000022,C117J,Minor Injury Unit or Other,67,NA,z,65,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
54,7,S92000003,S08000022,C121H,Emergency Department,616,NA,z,611,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
55,7,S92000003,S08000022,C122H,Minor Injury Unit or Other,211,NA,z,211,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
56,7,S92000003,S08000022,H101H,Minor Injury Unit or Other,199,NA,z,199,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
57,7,S92000003,S08000022,H103H,Emergency Department,496,NA,z,488,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
58,7,S92000003,S08000022,H106H,Minor Injury Unit or Other,73,NA,z,72,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
59,7,S92000003,S08000022,H202H,Emergency Department,2618,2618,NA,2553,2553,NA,549,NA,18,NA,2051,NA,0,NA,0,NA,3,NA,1,NA,2007-07-01,2007
60,7,S92000003,S08000022,H208H,Minor Injury Unit or Other,281,NA,z,280,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
61,7,S92000003,S08000022,H210H,Minor Injury Unit or Other,113,NA,z,111,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
62,7,S92000003,S08000022,H212H,Emergency Department,896,NA,z,879,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
63,7,S92000003,S08000022,H214H,Minor Injury Unit or Other,300,NA,z,296,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
64,7,S92000003,S08000022,H215H,Minor Injury Unit or Other,153,NA,z,152,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
65,7,S92000003,S08000022,H217H,Minor Injury Unit or Other,185,NA,z,185,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
66,7,S92000003,S08000022,H219H,Minor Injury Unit or Other,91,NA,z,91,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
67,7,S92000003,S08000022,H227B,Minor Injury Unit or Other,202,NA,z,202,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
68,7,S92000003,S08000032,L106H,Emergency Department,5662,5662,NA,5443,5443,NA,1537,NA,11,NA,4050,NA,22,NA,42,NA,3,NA,0,NA,2007-07-01,2007
69,7,S92000003,S08000032,L206H,Minor Injury Unit or Other,165,NA,z,165,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
70,7,S92000003,S08000032,L207H,Minor Injury Unit or Other,166,NA,z,166,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
71,7,S92000003,S08000032,L302H,Emergency Department,4545,4545,NA,4270,4270,NA,1089,NA,12,NA,3384,NA,12,NA,48,NA,87,NA,45,NA,2007-07-01,2007
72,7,S92000003,S08000032,L308H,Emergency Department,5555,5555,NA,5351,5351,NA,1276,NA,7,NA,4240,NA,15,NA,17,NA,44,NA,20,NA,2007-07-01,2007
73,7,S92000003,S08000024,S116H,Minor Injury Unit or Other,2761,2761,NA,2600,2600,NA,914,NA,4,NA,1840,NA,3,NA,0,NA,4,NA,0,NA,2007-07-01,2007
74,7,S92000003,S08000024,S308H,Emergency Department,3900,3900,NA,3642,3642,NA,841,NA,4,NA,2755,NA,75,NA,225,NA,2,NA,0,NA,2007-07-01,2007
75,7,S92000003,S08000024,S314H,Emergency Department,8947,8947,NA,8468,8468,NA,2683,NA,15,NA,6044,NA,205,NA,0,NA,19,NA,0,NA,2007-07-01,2007
76,7,S92000003,S08000024,S319H,Emergency Department,2620,2620,NA,2603,2603,NA,396,NA,1,NA,2218,NA,5,NA,0,NA,0,NA,0,NA,2007-07-01,2007
77,7,S92000003,S08000025,R103H,Minor Injury Unit or Other,225,NA,z,225,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
78,7,S92000003,S08000026,Z102H,Emergency Department,802,802,NA,791,791,NA,125,NA,0,NA,651,NA,3,NA,23,NA,0,NA,0,NA,2007-07-01,2007
79,7,S92000003,S08000030,T101H,Emergency Department,3940,3940,NA,3927,3927,NA,854,NA,9,NA,3038,NA,20,NA,19,NA,0,NA,0,NA,2007-07-01,2007
80,7,S92000003,S08000030,T202H,Emergency Department,2208,2208,NA,2192,2192,NA,389,NA,1,NA,1665,NA,69,NA,84,NA,0,NA,0,NA,2007-07-01,2007
81,7,S92000003,S08000030,T208H,Minor Injury Unit or Other,78,78,NA,78,78,NA,0,NA,0,NA,78,NA,0,NA,0,NA,0,NA,0,NA,2007-07-01,2007
82,7,S92000003,S08000030,T209H,Minor Injury Unit or Other,167,167,NA,166,166,NA,9,NA,0,NA,158,NA,0,NA,0,NA,0,NA,0,NA,2007-07-01,2007
83,7,S92000003,S08000030,T304H,Minor Injury Unit or Other,847,847,NA,846,846,NA,56,NA,0,NA,791,NA,0,NA,0,NA,0,NA,0,NA,2007-07-01,2007
84,7,S92000003,S08000030,T305H,Minor Injury Unit or Other,228,228,NA,228,228,NA,9,NA,0,NA,219,NA,0,NA,0,NA,0,NA,0,NA,2007-07-01,2007
85,7,S92000003,S08000030,T319H,Minor Injury Unit or Other,504,504,NA,504,504,NA,12,NA,0,NA,492,NA,0,NA,0,NA,0,NA,0,NA,2007-07-01,2007
86,7,S92000003,S08000030,T357C,Minor Injury Unit or Other,444,444,NA,444,444,NA,0,NA,0,NA,0,NA,0,NA,444,NA,0,NA,0,NA,2007-07-01,2007
87,7,S92000003,S08000028,W106H,Minor Injury Unit or Other,57,NA,z,57,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
88,7,S92000003,S08000028,W107H,Emergency Department,776,776,NA,762,762,NA,168,NA,0,NA,603,NA,0,NA,5,NA,1,NA,0,NA,2007-07-01,2007
89,7,S92000003,S08000028,W108H,Minor Injury Unit or Other,135,NA,z,135,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,2007
90,8,S92000003,S08000015,A101H,Minor Injury Unit or Other,265,NA,z,265,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
91,8,S92000003,S08000015,A111H,Emergency Department,5655,5655,NA,5508,5508,NA,1987,NA,9,NA,3548,NA,33,NA,78,NA,5,NA,3,NA,2007-08-01,2007
92,8,S92000003,S08000015,A207H,Minor Injury Unit or Other,86,NA,z,86,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
93,8,S92000003,S08000015,A210H,Emergency Department,3558,3558,NA,3388,3388,NA,1211,NA,0,NA,2211,NA,77,NA,59,NA,1,NA,0,NA,2007-08-01,2007
94,8,S92000003,S08000016,B103H,Minor Injury Unit or Other,14,NA,z,14,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
95,8,S92000003,S08000016,B105H,Minor Injury Unit or Other,106,NA,z,106,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
96,8,S92000003,S08000016,B114H,Minor Injury Unit or Other,28,NA,z,28,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
97,8,S92000003,S08000016,B118H,Minor Injury Unit or Other,122,NA,z,122,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
98,8,S92000003,S08000016,B120H,Emergency Department,2005,2005,NA,1993,1993,NA,600,NA,4,NA,1197,NA,34,NA,170,NA,0,NA,0,NA,2007-08-01,2007
99,8,S92000003,S08000017,Y101H,Minor Injury Unit or Other,92,NA,z,92,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
100,8,S92000003,S08000017,Y106H,Minor Injury Unit or Other,77,NA,z,77,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
101,8,S92000003,S08000017,Y109H,Minor Injury Unit or Other,10,NA,z,10,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
102,8,S92000003,S08000017,Y110H,Minor Injury Unit or Other,62,NA,z,62,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
103,8,S92000003,S08000017,Y144H,Emergency Department,1269,NA,z,1248,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
104,8,S92000003,S08000017,Y146H,Emergency Department,3010,3010,NA,2903,2903,NA,938,NA,3,NA,2005,NA,10,NA,54,NA,2,NA,0,NA,2007-08-01,2007
105,8,S92000003,S08000029,F704H,Emergency Department,3877,3877,NA,3745,3745,NA,572,NA,254,NA,2935,NA,49,NA,67,NA,8,NA,3,NA,2007-08-01,2007
106,8,S92000003,S08000029,F708H,Minor Injury Unit or Other,155,NA,z,155,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
107,8,S92000003,S08000029,F709H,Minor Injury Unit or Other,251,NA,z,250,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
108,8,S92000003,S08000029,F805H,Emergency Department,3507,3507,NA,3400,3400,NA,712,NA,55,NA,2684,NA,31,NA,25,NA,3,NA,0,NA,2007-08-01,2007
109,8,S92000003,S08000019,V102H,Minor Injury Unit or Other,1872,1872,NA,1870,1870,NA,0,NA,0,NA,1344,NA,227,NA,301,NA,0,NA,0,NA,2007-08-01,2007
110,8,S92000003,S08000019,V201H,Emergency Department,4370,4370,NA,4055,4055,NA,1096,NA,4,NA,2572,NA,38,NA,660,NA,10,NA,0,NA,2007-08-01,2007
111,8,S92000003,S08000020,N101H,Emergency Department,5421,5421,NA,5261,5261,NA,1278,NA,27,NA,3979,NA,108,NA,29,NA,5,NA,1,NA,2007-08-01,2007
112,8,S92000003,S08000020,N121H,Emergency Department,1412,1412,NA,1402,1402,NA,343,NA,0,NA,1069,NA,0,NA,0,NA,0,NA,0,NA,2007-08-01,2007
113,8,S92000003,S08000020,N151H,Minor Injury Unit or Other,72,NA,z,72,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
114,8,S92000003,S08000020,N331H,Minor Injury Unit or Other,48,NA,z,48,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
115,8,S92000003,S08000020,N332H,Minor Injury Unit or Other,93,NA,z,93,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
116,8,S92000003,S08000020,N333H,Minor Injury Unit or Other,1105,NA,z,1104,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
117,8,S92000003,S08000020,N334H,Minor Injury Unit or Other,806,NA,z,802,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
118,8,S92000003,S08000020,N335H,Minor Injury Unit or Other,256,NA,z,256,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
119,8,S92000003,S08000020,N336H,Minor Injury Unit or Other,178,NA,z,178,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
120,8,S92000003,S08000020,N337H,Minor Injury Unit or Other,385,NA,z,385,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
121,8,S92000003,S08000020,N411H,Emergency Department,1905,1905,NA,1791,1791,NA,560,NA,2,NA,1273,NA,27,NA,43,NA,6,NA,0,NA,2007-08-01,2007
122,8,S92000003,S08000020,N431H,Minor Injury Unit or Other,104,NA,z,104,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
123,8,S92000003,S08000020,N432H,Minor Injury Unit or Other,45,NA,z,45,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
124,8,S92000003,S08000020,N433H,Minor Injury Unit or Other,118,NA,z,118,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
125,8,S92000003,S08000020,N434H,Minor Injury Unit or Other,62,NA,z,62,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
126,8,S92000003,S08000020,N451H,Minor Injury Unit or Other,36,NA,z,36,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
127,8,S92000003,S08000020,N494H,Minor Injury Unit or Other,150,150,NA,150,150,NA,0,NA,1,NA,122,NA,27,NA,0,NA,0,NA,0,NA,2007-08-01,2007
128,8,S92000003,S08000031,C206H,Minor Injury Unit or Other,1407,1407,NA,1388,1388,NA,352,NA,1,NA,956,NA,84,NA,14,NA,0,NA,0,NA,2007-08-01,2007
129,8,S92000003,S08000031,C313H,Emergency Department,2791,2791,NA,2732,2732,NA,577,NA,1,NA,2039,NA,25,NA,149,NA,0,NA,0,NA,2007-08-01,2007
130,8,S92000003,S08000031,C418H,Emergency Department,5691,5691,NA,5548,5548,NA,1577,NA,6,NA,3742,NA,64,NA,302,NA,2,NA,0,NA,2007-08-01,2007
131,8,S92000003,S08000031,G107H,Emergency Department,6248,6248,NA,5881,5881,NA,1898,NA,18,NA,3883,NA,113,NA,336,NA,9,NA,2,NA,2007-08-01,2007
132,8,S92000003,S08000031,G207H,Emergency Department,3627,3627,NA,3348,3348,NA,1062,NA,1,NA,2380,NA,41,NA,143,NA,23,NA,4,NA,2007-08-01,2007
133,8,S92000003,S08000031,G306H,Emergency Department,5964,5964,NA,5844,5844,NA,1572,NA,13,NA,4225,NA,105,NA,49,NA,2,NA,0,NA,2007-08-01,2007
134,8,S92000003,S08000031,G405H,Emergency Department,4162,4162,NA,3813,3813,NA,1146,NA,12,NA,2743,NA,36,NA,225,NA,7,NA,0,NA,2007-08-01,2007
135,8,S92000003,S08000031,G513H,Emergency Department,3007,3007,NA,2962,2962,NA,529,NA,0,NA,2467,NA,3,NA,8,NA,2,NA,1,NA,2007-08-01,2007
136,8,S92000003,S08000031,G516H,Emergency Department,5177,5177,NA,4733,4733,NA,1643,NA,9,NA,3112,NA,113,NA,300,NA,26,NA,3,NA,2007-08-01,2007
137,8,S92000003,S08000022,C103B,Minor Injury Unit or Other,423,NA,z,422,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
138,8,S92000003,S08000022,C106H,Minor Injury Unit or Other,628,NA,z,627,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
139,8,S92000003,S08000022,C108H,Minor Injury Unit or Other,94,NA,z,94,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
140,8,S92000003,S08000022,C110H,Minor Injury Unit or Other,364,NA,z,364,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
141,8,S92000003,S08000022,C113H,Minor Injury Unit or Other,367,NA,z,361,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
142,8,S92000003,S08000022,C117J,Minor Injury Unit or Other,74,NA,z,73,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
143,8,S92000003,S08000022,C121H,Emergency Department,631,NA,z,629,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
144,8,S92000003,S08000022,C122H,Minor Injury Unit or Other,250,NA,z,249,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
145,8,S92000003,S08000022,H101H,Minor Injury Unit or Other,228,NA,z,227,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
146,8,S92000003,S08000022,H103H,Emergency Department,578,NA,z,573,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
147,8,S92000003,S08000022,H106H,Minor Injury Unit or Other,66,NA,z,66,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
148,8,S92000003,S08000022,H202H,Emergency Department,2805,2805,NA,2717,2717,NA,578,NA,4,NA,2167,NA,1,NA,55,NA,3,NA,0,NA,2007-08-01,2007
149,8,S92000003,S08000022,H208H,Minor Injury Unit or Other,283,NA,z,281,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-08-01,2007
