quarter,quarter_qf,hb,hbqf,location,location_qf,specialty,specialty_qf,specialty_name,specialty_name_qf,all_staffed_beds,all_staffed_beds_qf,total_occupied_beds,total_occupied_beds_qf,average_available_staffed_beds,average_available_staffed_beds_qf,average_occupied_beds,average_occupied_beds_qf,percentage_occupancy,percentage_occupancy_qf,q,date
Q1,NA,NA,NA,SB0801,d,Z9,d,All Specialties,d,14783,NA,11654,NA,164.25555555555556,NA,129.48888888888888,NA,78.83379557599946,NA,Q1,2019-01-01
Q2,NA,NA,NA,SB0801,d,Z9,d,All Specialties,d,14929,NA,11897,NA,164.05494505494505,NA,130.73626373626374,NA,79.69053519994641,NA,Q2,2019-04-01
Q3,NA,NA,NA,SB0801,d,Z9,d,All Specialties,d,15392,NA,12067,NA,167.30434782608697,NA,131.16304347826087,NA,78.39786902286902,NA,Q3,2019-07-01
Q4,NA,NA,NA,SB0801,d,Z9,d,All Specialties,d,15603,NA,11659,NA,169.59782608695653,NA,126.72826086956522,NA,74.72280971608023,NA,Q4,2019-10-01
Q1,NA,NA,NA,SB0801,d,Z9,d,All Specialties,d,14896,NA,10915,NA,163.69230769230768,NA,119.94505494505496,NA,73.27470461868958,NA,Q1,2020-01-01
Q2,NA,NA,NA,SB0801,d,Z9,d,All Specialties,d,14417,NA,8152,NA,158.42857142857142,NA,89.58241758241758,NA,56.54435735589929,NA,Q2,2020-04-01
Q3,NA,NA,NA,SB0801,d,Z9,d,All Specialties,d,15524,NA,10016,NA,168.7391304347826,NA,108.8695652173913,NA,64.51945374903374,NA,Q3,2020-07-01
Q4,NA,NA,NA,SB0801,d,Z9,d,All Specialties,d,15756,NA,11255,NA,171.2608695652174,NA,122.33695652173913,NA,71.43310484894643,NA,Q4,2020-10-01
Q1,NA,NA,NA,SB0801,d,Z9,d,All Specialties,d,16637,NA,12150,NA,184.85555555555555,NA,135,NA,73.02999338823105,NA,Q1,2021-01-01
Q2,p,NA,NA,SB0801,d,Z9,d,All Specialties,d,16240,NA,12350,NA,178.46153846153845,NA,135.71428571428572,NA,76.04679802955665,NA,Q2,2021-04-01
Q2,NA,NA,NA,SB0801,d,C3,NA,Anaesthetics,NA,8,NA,8,NA,0.08791208791208792,NA,0.08791208791208792,NA,100,NA,Q2,2017-04-01
Q4,NA,NA,NA,SB0801,d,C3,NA,Anaesthetics,NA,7,NA,7,NA,0.07608695652173914,NA,0.07608695652173914,NA,100,NA,Q4,2017-10-01
Q2,NA,NA,NA,SB0801,d,C3,NA,Anaesthetics,NA,56,NA,56,NA,0.6153846153846154,NA,0.6153846153846154,NA,100,NA,Q2,2020-04-01
Q4,NA,NA,NA,SB0801,d,C3,NA,Anaesthetics,NA,17,NA,17,NA,0.18478260869565216,NA,0.18478260869565216,NA,100,NA,Q4,2020-10-01
Q1,NA,NA,NA,SB0801,d,C3,NA,Anaesthetics,NA,36,NA,36,NA,0.4,NA,0.4,NA,100,NA,Q1,2021-01-01
Q2,NA,NA,NA,SB0801,d,A2,NA,Cardiology,NA,3259,NA,2918,NA,35.81318681318681,NA,32.065934065934066,NA,89.53666768947531,NA,Q2,2016-04-01
Q3,NA,NA,NA,SB0801,d,A2,NA,Cardiology,NA,2492,NA,2165,NA,27.08695652173913,NA,23.532608695652176,NA,86.87800963081862,NA,Q3,2016-07-01
Q4,NA,NA,NA,SB0801,d,A2,NA,Cardiology,NA,2443,NA,2162,NA,26.554347826086957,NA,23.5,NA,88.49774866966844,NA,Q4,2016-10-01
Q1,NA,NA,NA,SB0801,d,A2,NA,Cardiology,NA,2306,NA,2032,NA,25.622222222222224,NA,22.57777777777778,NA,88.11795316565481,NA,Q1,2017-01-01
Q2,NA,NA,NA,SB0801,d,A2,NA,Cardiology,NA,2561,NA,2268,NA,28.142857142857142,NA,24.923076923076923,NA,88.55915657946115,NA,Q2,2017-04-01
Q3,NA,NA,NA,SB0801,d,A2,NA,Cardiology,NA,2492,NA,2148,NA,27.08695652173913,NA,23.347826086956523,NA,86.19582664526486,NA,Q3,2017-07-01
Q4,NA,NA,NA,SB0801,d,A2,NA,Cardiology,NA,2635,NA,2312,NA,28.64130434782609,NA,25.130434782608695,NA,87.74193548387098,NA,Q4,2017-10-01
Q1,NA,NA,NA,SB0801,d,A2,NA,Cardiology,NA,2395,NA,2050,NA,26.61111111111111,NA,22.77777777777778,NA,85.59498956158664,NA,Q1,2018-01-01
Q2,NA,NA,NA,SB0801,d,A2,NA,Cardiology,NA,2574,NA,2294,NA,28.285714285714285,NA,25.208791208791208,NA,89.12198912198912,NA,Q2,2018-04-01
Q3,NA,NA,NA,SB0801,d,A2,NA,Cardiology,NA,2728,NA,2396,NA,29.652173913043477,NA,26.043478260869566,NA,87.82991202346042,NA,Q3,2018-07-01
Q4,NA,NA,NA,SB0801,d,A2,NA,Cardiology,NA,2920,NA,2574,NA,31.73913043478261,NA,27.97826086956522,NA,88.15068493150685,NA,Q4,2018-10-01
Q1,NA,NA,NA,SB0801,d,A2,NA,Cardiology,NA,2757,NA,2483,NA,30.633333333333333,NA,27.58888888888889,NA,90.06166122597025,NA,Q1,2019-01-01
Q2,NA,NA,NA,SB0801,d,A2,NA,Cardiology,NA,2637,NA,2363,NA,28.978021978021975,NA,25.967032967032967,NA,89.60940462646947,NA,Q2,2019-04-01
Q3,NA,NA,NA,SB0801,d,A2,NA,Cardiology,NA,2740,NA,2352,NA,29.782608695652176,NA,25.565217391304348,NA,85.83941605839416,NA,Q3,2019-07-01
Q4,NA,NA,NA,SB0801,d,A2,NA,Cardiology,NA,2591,NA,2276,NA,28.16304347826087,NA,24.73913043478261,NA,87.84253184098803,NA,Q4,2019-10-01
Q1,NA,NA,NA,SB0801,d,A2,NA,Cardiology,NA,2692,NA,2248,NA,29.582417582417584,NA,24.703296703296704,NA,83.50668647845468,NA,Q1,2020-01-01
Q2,NA,NA,NA,SB0801,d,A2,NA,Cardiology,NA,4515,NA,3294,NA,49.61538461538461,NA,36.1978021978022,NA,72.95681063122925,NA,Q2,2020-04-01
Q3,NA,NA,NA,SB0801,d,A2,NA,Cardiology,NA,4112,NA,3011,NA,44.69565217391305,NA,32.72826086956522,NA,73.22470817120622,NA,Q3,2020-07-01
Q4,NA,NA,NA,SB0801,d,A2,NA,Cardiology,NA,3667,NA,2548,NA,39.858695652173914,NA,27.695652173913043,NA,69.48459230979002,NA,Q4,2020-10-01
Q1,NA,NA,NA,SB0801,d,A2,NA,Cardiology,NA,4251,NA,3061,NA,47.233333333333334,NA,34.01111111111111,NA,72.00658668548577,NA,Q1,2021-01-01
Q2,p,NA,NA,SB0801,d,A2,NA,Cardiology,NA,3400,NA,3118,NA,37.362637362637365,NA,34.26373626373626,NA,91.70588235294116,NA,Q2,2021-04-01
Q2,NA,NA,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7899,NA,5380,NA,86.8021978021978,NA,59.12087912087912,NA,68.10988732750982,NA,Q2,2016-04-01
Q3,NA,NA,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7969,NA,5427,NA,86.6195652173913,NA,58.98913043478261,NA,68.10139289747774,NA,Q3,2016-07-01
Q4,NA,NA,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,8043,NA,5576,NA,87.42391304347827,NA,60.608695652173914,NA,69.32736541091631,NA,Q4,2016-10-01
Q1,NA,NA,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7771,NA,5234,NA,86.34444444444445,NA,58.15555555555556,NA,67.35297902457856,NA,Q1,2017-01-01
Q2,NA,NA,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7581,NA,5418,NA,83.3076923076923,NA,59.53846153846154,NA,71.46814404432133,NA,Q2,2017-04-01
Q3,NA,NA,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7675,NA,5552,NA,83.42391304347827,NA,60.34782608695652,NA,72.3387622149837,NA,Q3,2017-07-01
Q4,NA,NA,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7791,NA,5661,NA,84.68478260869566,NA,61.53260869565217,NA,72.66076241817481,NA,Q4,2017-10-01
Q1,NA,NA,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7781,NA,5858,NA,86.45555555555555,NA,65.08888888888889,NA,75.28595296234418,NA,Q1,2018-01-01
Q2,NA,NA,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7818,NA,6052,NA,85.91208791208791,NA,66.50549450549451,NA,77.41110258378102,NA,Q2,2018-04-01
Q3,NA,NA,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7681,NA,5916,NA,83.48913043478261,NA,64.30434782608695,NA,77.02122119515687,NA,Q3,2018-07-01
Q4,NA,NA,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7176,NA,5497,NA,78,NA,59.75,NA,76.6025641025641,NA,Q4,2018-10-01
Q1,NA,NA,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7230,NA,5644,NA,80.33333333333333,NA,62.71111111111111,NA,78.06362378976488,NA,Q1,2019-01-01
Q2,NA,NA,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7428,NA,6188,NA,81.62637362637362,NA,68,NA,83.30640818524503,NA,Q2,2019-04-01
Q3,NA,NA,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7644,NA,6197,NA,83.08695652173913,NA,67.3586956521739,NA,81.07012035583465,NA,Q3,2019-07-01
Q4,NA,NA,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7877,NA,6165,NA,85.6195652173913,NA,67.01086956521739,NA,78.26583724768314,NA,Q4,2019-10-01
Q1,NA,NA,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7486,NA,5828,NA,82.26373626373626,NA,64.04395604395604,NA,77.8519903820465,NA,Q1,2020-01-01
Q2,NA,NA,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,6612,NA,3707,NA,72.65934065934066,NA,40.73626373626374,NA,56.064730792498494,NA,Q2,2020-04-01
Q3,NA,NA,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7074,NA,5123,NA,76.8913043478261,NA,55.68478260869565,NA,72.42013005371784,NA,Q3,2020-07-01
Q4,NA,NA,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,6981,NA,5396,NA,75.8804347826087,NA,58.65217391304348,NA,77.29551640166164,NA,Q4,2020-10-01
Q1,NA,NA,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7232,NA,5083,NA,80.35555555555555,NA,56.477777777777774,NA,70.28484513274336,NA,Q1,2021-01-01
Q2,p,NA,NA,SB0801,d,C4,NA,Cardiothoracic Surgery,NA,7502,NA,5413,NA,82.43956043956044,NA,59.48351648351648,NA,72.15409224206878,NA,Q2,2021-04-01
Q1,NA,NA,NA,SB0801,d,H1,NA,Clinical Radiology,NA,27,NA,27,NA,0.3,NA,0.3,NA,100,NA,Q1,2021-01-01
Q2,p,NA,NA,SB0801,d,H1,NA,Clinical Radiology,NA,48,NA,48,NA,0.5274725274725275,NA,0.5274725274725275,NA,100,NA,Q2,2021-04-01
Q1,NA,NA,NA,SB0801,d,NA,z,Dental Grouping,d,7,NA,7,NA,0.07777777777777778,NA,0.07777777777777778,NA,100,NA,Q1,2021-01-01
Q2,p,NA,NA,SB0801,d,NA,z,Dental Grouping,d,2,NA,2,NA,0.02197802197802198,NA,0.02197802197802198,NA,100,NA,Q2,2021-04-01
Q2,NA,NA,NA,SB0801,d,C5,NA,"Ear, Nose & Throat (ENT)",NA,260,NA,260,NA,2.857142857142857,NA,2.857142857142857,NA,100,NA,Q2,2020-04-01
Q3,NA,NA,NA,SB0801,d,C5,NA,"Ear, Nose & Throat (ENT)",NA,184,NA,184,NA,2,NA,2,NA,100,NA,Q3,2020-07-01
Q4,NA,NA,NA,SB0801,d,C5,NA,"Ear, Nose & Throat (ENT)",NA,122,NA,122,NA,1.326086956521739,NA,1.326086956521739,NA,100,NA,Q4,2020-10-01
Q1,NA,NA,NA,SB0801,d,C5,NA,"Ear, Nose & Throat (ENT)",NA,157,NA,157,NA,1.7444444444444445,NA,1.7444444444444445,NA,100,NA,Q1,2021-01-01
Q2,p,NA,NA,SB0801,d,C5,NA,"Ear, Nose & Throat (ENT)",NA,113,NA,113,NA,1.2417582417582418,NA,1.2417582417582418,NA,100,NA,Q2,2021-04-01
Q2,NA,NA,NA,SB0801,d,C1,NA,General Surgery,NA,78,NA,78,NA,0.8571428571428571,NA,0.8571428571428571,NA,100,NA,Q2,2016-04-01
Q3,NA,NA,NA,SB0801,d,C1,NA,General Surgery,NA,75,NA,75,NA,0.8152173913043478,NA,0.8152173913043478,NA,100,NA,Q3,2016-07-01
Q4,NA,NA,NA,SB0801,d,C1,NA,General Surgery,NA,73,NA,73,NA,0.7934782608695652,NA,0.7934782608695652,NA,100,NA,Q4,2016-10-01
Q1,NA,NA,NA,SB0801,d,C1,NA,General Surgery,NA,70,NA,70,NA,0.7777777777777778,NA,0.7777777777777778,NA,100,NA,Q1,2017-01-01
Q2,NA,NA,NA,SB0801,d,C1,NA,General Surgery,NA,57,NA,57,NA,0.6263736263736264,NA,0.6263736263736264,NA,100,NA,Q2,2017-04-01
Q3,NA,NA,NA,SB0801,d,C1,NA,General Surgery,NA,65,NA,65,NA,0.7065217391304348,NA,0.7065217391304348,NA,100,NA,Q3,2017-07-01
Q4,NA,NA,NA,SB0801,d,C1,NA,General Surgery,NA,47,NA,47,NA,0.5108695652173914,NA,0.5108695652173914,NA,100,NA,Q4,2017-10-01
Q1,NA,NA,NA,SB0801,d,C1,NA,General Surgery,NA,72,NA,72,NA,0.8,NA,0.8,NA,100,NA,Q1,2018-01-01
Q2,NA,NA,NA,SB0801,d,C1,NA,General Surgery,NA,49,NA,49,NA,0.5384615384615384,NA,0.5384615384615384,NA,100,NA,Q2,2018-04-01
Q3,NA,NA,NA,SB0801,d,C1,NA,General Surgery,NA,61,NA,61,NA,0.6630434782608695,NA,0.6630434782608695,NA,100,NA,Q3,2018-07-01
Q4,NA,NA,NA,SB0801,d,C1,NA,General Surgery,NA,94,NA,94,NA,1.0217391304347827,NA,1.0217391304347827,NA,100,NA,Q4,2018-10-01
Q1,NA,NA,NA,SB0801,d,C1,NA,General Surgery,NA,39,NA,39,NA,0.43333333333333335,NA,0.43333333333333335,NA,100,NA,Q1,2019-01-01
Q2,NA,NA,NA,SB0801,d,C1,NA,General Surgery,NA,43,NA,43,NA,0.4725274725274725,NA,0.4725274725274725,NA,100,NA,Q2,2019-04-01
Q3,NA,NA,NA,SB0801,d,C1,NA,General Surgery,NA,34,NA,34,NA,0.3695652173913043,NA,0.3695652173913043,NA,100,NA,Q3,2019-07-01
Q4,NA,NA,NA,SB0801,d,C1,NA,General Surgery,NA,47,NA,47,NA,0.5108695652173914,NA,0.5108695652173914,NA,100,NA,Q4,2019-10-01
Q1,NA,NA,NA,SB0801,d,C1,NA,General Surgery,NA,55,NA,55,NA,0.6043956043956044,NA,0.6043956043956044,NA,100,NA,Q1,2020-01-01
Q2,NA,NA,NA,SB0801,d,C1,NA,General Surgery,NA,804,NA,111,NA,8.835164835164836,NA,1.21978021978022,NA,13.805970149253731,NA,Q2,2020-04-01
Q3,NA,NA,NA,SB0801,d,C1,NA,General Surgery,NA,1022,NA,145,NA,11.108695652173912,NA,1.576086956521739,NA,14.187866927592957,NA,Q3,2020-07-01
Q4,NA,NA,NA,SB0801,d,C1,NA,General Surgery,NA,67,NA,67,NA,0.7282608695652174,NA,0.7282608695652174,NA,100,NA,Q4,2020-10-01
Q1,NA,NA,NA,SB0801,d,C1,NA,General Surgery,NA,154,NA,154,NA,1.711111111111111,NA,1.711111111111111,NA,100,NA,Q1,2021-01-01
Q2,p,NA,NA,SB0801,d,C1,NA,General Surgery,NA,1001,NA,33,NA,11,NA,0.3626373626373626,NA,3.296703296703297,NA,Q2,2021-04-01
Q2,NA,NA,NA,SB0801,d,F2,NA,Gynaecology,NA,51,NA,51,NA,0.5604395604395604,NA,0.5604395604395604,NA,100,NA,Q2,2020-04-01
Q3,NA,NA,NA,SB0801,d,F2,NA,Gynaecology,NA,82,NA,82,NA,0.8913043478260869,NA,0.8913043478260869,NA,100,NA,Q3,2020-07-01
Q4,NA,NA,NA,SB0801,d,F2,NA,Gynaecology,NA,91,NA,91,NA,0.9891304347826086,NA,0.9891304347826086,NA,100,NA,Q4,2020-10-01
Q1,NA,NA,NA,SB0801,d,F2,NA,Gynaecology,NA,83,NA,83,NA,0.9222222222222224,NA,0.9222222222222224,NA,100,NA,Q1,2021-01-01
Q2,p,NA,NA,SB0801,d,F2,NA,Gynaecology,NA,79,NA,79,NA,0.8681318681318682,NA,0.8681318681318682,NA,100,NA,Q2,2021-04-01
Q2,NA,NA,NA,SB0801,d,NA,z,Medical Grouping,d,3405,NA,3064,NA,37.417582417582416,NA,33.67032967032967,NA,89.98531571218797,NA,Q2,2016-04-01
Q3,NA,NA,NA,SB0801,d,NA,z,Medical Grouping,d,2611,NA,2284,NA,28.380434782608695,NA,24.82608695652174,NA,87.47606281118345,NA,Q3,2016-07-01
Q4,NA,NA,NA,SB0801,d,NA,z,Medical Grouping,d,2562,NA,2276,NA,27.847826086956523,NA,24.73913043478261,NA,88.8368462138954,NA,Q4,2016-10-01
Q1,NA,NA,NA,SB0801,d,NA,z,Medical Grouping,d,2429,NA,2154,NA,26.988888888888887,NA,23.933333333333337,NA,88.678468505557845,NA,Q1,2017-01-01
Q2,NA,NA,NA,SB0801,d,NA,z,Medical Grouping,d,2697,NA,2400,NA,29.63736263736264,NA,26.373626373626372,NA,88.98776418242491,NA,Q2,2017-04-01
Q3,NA,NA,NA,SB0801,d,NA,z,Medical Grouping,d,2636,NA,2292,NA,28.652173913043477,NA,24.91304347826087,NA,86.94992412746588,NA,Q3,2017-07-01
Q4,NA,NA,NA,SB0801,d,NA,z,Medical Grouping,d,2769,NA,2446,NA,30.097826086956523,NA,26.58695652173913,NA,88.33513903936438,NA,Q4,2017-10-01
Q1,NA,NA,NA,SB0801,d,NA,z,Medical Grouping,d,2554,NA,2209,NA,28.377777777777776,NA,24.544444444444444,NA,86.4917776037588,NA,Q1,2018-01-01
Q2,NA,NA,NA,SB0801,d,NA,z,Medical Grouping,d,2748,NA,2468,NA,30.197802197802197,NA,27.12087912087912,NA,89.81077147016012,NA,Q2,2018-04-01
Q3,NA,NA,NA,SB0801,d,NA,z,Medical Grouping,d,2886,NA,2554,NA,31.369565217391305,NA,27.76086956521739,NA,88.4961884961885,NA,Q3,2018-07-01
Q4,NA,NA,NA,SB0801,d,NA,z,Medical Grouping,d,3078,NA,2732,NA,33.45652173913044,NA,29.695652173913043,NA,88.75893437296945,NA,Q4,2018-10-01
Q1,NA,NA,NA,SB0801,d,NA,z,Medical Grouping,d,2942,NA,2668,NA,32.68888888888889,NA,29.64444444444445,NA,90.68660774983005,NA,Q1,2019-01-01
Q2,NA,NA,NA,SB0801,d,NA,z,Medical Grouping,d,2776,NA,2502,NA,30.505494505494507,NA,27.494505494505493,NA,90.12968299711814,NA,Q2,2019-04-01
Q3,NA,NA,NA,SB0801,d,NA,z,Medical Grouping,d,2874,NA,2486,NA,31.23913043478261,NA,27.02173913043478,NA,86.49965205288795,NA,Q3,2019-07-01
Q4,NA,NA,NA,SB0801,d,NA,z,Medical Grouping,d,2731,NA,2416,NA,29.684782608695652,NA,26.26086956521739,NA,88.46576345660931,NA,Q4,2019-10-01
Q1,NA,NA,NA,SB0801,d,NA,z,Medical Grouping,d,2836,NA,2392,NA,31.164835164835164,NA,26.285714285714285,NA,84.3441466854725,NA,Q1,2020-01-01
Q2,NA,NA,NA,SB0801,d,NA,z,Medical Grouping,d,4547,NA,3326,NA,49.96703296703296,NA,36.54945054945055,NA,73.14712997580823,NA,Q2,2020-04-01
Q3,NA,NA,NA,SB0801,d,NA,z,Medical Grouping,d,4227,NA,3126,NA,45.94565217391305,NA,33.97826086956522,NA,73.95315826827536,NA,Q3,2020-07-01
Q4,NA,NA,NA,SB0801,d,NA,z,Medical Grouping,d,3771,NA,2649,NA,40.98913043478261,NA,28.793478260869566,NA,70.24661893396977,NA,Q4,2020-10-01
Q1,NA,NA,NA,SB0801,d,NA,z,Medical Grouping,d,4396,NA,3198,NA,48.84444444444444,NA,35.53333333333333,NA,72.74795268425842,NA,Q1,2021-01-01
Q2,p,NA,NA,SB0801,d,NA,z,Medical Grouping,d,3587,NA,3305,NA,39.417582417582416,NA,36.31868131868132,NA,92.1382771117926,NA,Q2,2021-04-01
Q2,NA,NA,NA,SB0801,d,C7,NA,Ophthalmology,NA,1,NA,1,NA,0.01098901098901099,NA,0.01098901098901099,NA,100,NA,Q2,2018-04-01
Q3,NA,NA,NA,SB0801,d,C7,NA,Ophthalmology,NA,2,NA,2,NA,0.0217391304347826,NA,0.0217391304347826,NA,100,NA,Q3,2018-07-01
Q1,NA,NA,NA,SB0801,d,D3,NA,Oral Surgery,NA,7,NA,7,NA,0.07777777777777778,NA,0.07777777777777778,NA,100,NA,Q1,2021-01-01
Q2,p,NA,NA,SB0801,d,D3,NA,Oral Surgery,NA,2,NA,2,NA,0.02197802197802198,NA,0.02197802197802198,NA,100,NA,Q2,2021-04-01
Q2,NA,NA,NA,SB0801,d,C9,NA,Plastic Surgery,NA,7,NA,7,NA,0.07692307692307693,NA,0.07692307692307693,NA,100,NA,Q2,2016-04-01
Q3,NA,NA,NA,SB0801,d,C9,NA,Plastic Surgery,NA,10,NA,10,NA,0.10869565217391304,NA,0.10869565217391304,NA,100,NA,Q3,2016-07-01
Q4,NA,NA,NA,SB0801,d,C9,NA,Plastic Surgery,NA,12,NA,12,NA,0.13043478260869565,NA,0.13043478260869565,NA,100,NA,Q4,2016-10-01
