date,quarter,hb,specialty_name,all_staffed_beds,total_occupied_beds,average_available_staffed_beds,average_occupied_beds,percentage_occupancy
2019-10-01,Q4,Golden Jubilee,Cardiothoracic Surgery,7877,6165,85.6195652173913,67.01086956521739,78.26583724768314
2020-01-01,Q1,Golden Jubilee,Cardiothoracic Surgery,7486,5828,82.26373626373626,64.04395604395604,77.8519903820465
2020-04-01,Q2,Golden Jubilee,Cardiothoracic Surgery,6612,3707,72.65934065934066,40.73626373626374,56.064730792498494
2020-07-01,Q3,Golden Jubilee,Cardiothoracic Surgery,7074,5123,76.8913043478261,55.68478260869565,72.42013005371784
2020-10-01,Q4,Golden Jubilee,Cardiothoracic Surgery,6981,5396,75.8804347826087,58.65217391304348,77.29551640166164
2021-01-01,Q1,Golden Jubilee,Cardiothoracic Surgery,7232,5083,80.35555555555555,56.477777777777774,70.28484513274336
2021-04-01,Q2,Golden Jubilee,Cardiothoracic Surgery,7502,5413,82.43956043956044,59.48351648351648,72.15409224206878
2021-01-01,Q1,Golden Jubilee,Clinical Radiology,27,27,0.3,0.3,100
2021-04-01,Q2,Golden Jubilee,Clinical Radiology,48,48,0.5274725274725275,0.5274725274725275,100
2021-01-01,Q1,Golden Jubilee,Dental Grouping,7,7,0.07777777777777778,0.07777777777777778,100
2021-04-01,Q2,Golden Jubilee,Dental Grouping,2,2,0.02197802197802198,0.02197802197802198,100
2020-04-01,Q2,Golden Jubilee,"Ear, Nose & Throat (ENT)",260,260,2.857142857142857,2.857142857142857,100
2020-07-01,Q3,Golden Jubilee,"Ear, Nose & Throat (ENT)",184,184,2,2,100
2020-10-01,Q4,Golden Jubilee,"Ear, Nose & Throat (ENT)",122,122,1.326086956521739,1.326086956521739,100
2021-01-01,Q1,Golden Jubilee,"Ear, Nose & Throat (ENT)",157,157,1.7444444444444445,1.7444444444444445,100
2021-04-01,Q2,Golden Jubilee,"Ear, Nose & Throat (ENT)",113,113,1.2417582417582418,1.2417582417582418,100
2016-04-01,Q2,Golden Jubilee,General Surgery,78,78,0.8571428571428571,0.8571428571428571,100
2016-07-01,Q3,Golden Jubilee,General Surgery,75,75,0.8152173913043478,0.8152173913043478,100
2016-10-01,Q4,Golden Jubilee,General Surgery,73,73,0.7934782608695652,0.7934782608695652,100
2017-01-01,Q1,Golden Jubilee,General Surgery,70,70,0.7777777777777778,0.7777777777777778,100
2017-04-01,Q2,Golden Jubilee,General Surgery,57,57,0.6263736263736264,0.6263736263736264,100
2017-07-01,Q3,Golden Jubilee,General Surgery,65,65,0.7065217391304348,0.7065217391304348,100
2017-10-01,Q4,Golden Jubilee,General Surgery,47,47,0.5108695652173914,0.5108695652173914,100
2018-01-01,Q1,Golden Jubilee,General Surgery,72,72,0.8,0.8,100
2018-04-01,Q2,Golden Jubilee,General Surgery,49,49,0.5384615384615384,0.5384615384615384,100
2018-07-01,Q3,Golden Jubilee,General Surgery,61,61,0.6630434782608695,0.6630434782608695,100
2018-10-01,Q4,Golden Jubilee,General Surgery,94,94,1.0217391304347827,1.0217391304347827,100
2019-01-01,Q1,Golden Jubilee,General Surgery,39,39,0.43333333333333335,0.43333333333333335,100
2019-04-01,Q2,Golden Jubilee,General Surgery,43,43,0.4725274725274725,0.4725274725274725,100
2019-07-01,Q3,Golden Jubilee,General Surgery,34,34,0.3695652173913043,0.3695652173913043,100
2019-10-01,Q4,Golden Jubilee,General Surgery,47,47,0.5108695652173914,0.5108695652173914,100
2020-01-01,Q1,Golden Jubilee,General Surgery,55,55,0.6043956043956044,0.6043956043956044,100
2020-04-01,Q2,Golden Jubilee,General Surgery,804,111,8.835164835164836,1.21978021978022,13.805970149253731
2020-07-01,Q3,Golden Jubilee,General Surgery,1022,145,11.108695652173912,1.576086956521739,14.187866927592957
2020-10-01,Q4,Golden Jubilee,General Surgery,67,67,0.7282608695652174,0.7282608695652174,100
2021-01-01,Q1,Golden Jubilee,General Surgery,154,154,1.711111111111111,1.711111111111111,100
2021-04-01,Q2,Golden Jubilee,General Surgery,1001,33,11,0.3626373626373626,3.296703296703297
2020-04-01,Q2,Golden Jubilee,Gynaecology,51,51,0.5604395604395604,0.5604395604395604,100
2020-07-01,Q3,Golden Jubilee,Gynaecology,82,82,0.8913043478260869,0.8913043478260869,100
2020-10-01,Q4,Golden Jubilee,Gynaecology,91,91,0.9891304347826086,0.9891304347826086,100
2021-01-01,Q1,Golden Jubilee,Gynaecology,83,83,0.9222222222222224,0.9222222222222224,100
2021-04-01,Q2,Golden Jubilee,Gynaecology,79,79,0.8681318681318682,0.8681318681318682,100
2016-04-01,Q2,Golden Jubilee,Medical Grouping,3405,3064,37.417582417582416,33.67032967032967,89.98531571218797
2016-07-01,Q3,Golden Jubilee,Medical Grouping,2611,2284,28.380434782608695,24.82608695652174,87.47606281118345
2016-10-01,Q4,Golden Jubilee,Medical Grouping,2562,2276,27.847826086956523,24.73913043478261,88.8368462138954
2017-01-01,Q1,Golden Jubilee,Medical Grouping,2429,2154,26.988888888888887,23.933333333333337,88.678468505557845
2017-04-01,Q2,Golden Jubilee,Medical Grouping,2697,2400,29.63736263736264,26.373626373626372,88.98776418242491
2017-07-01,Q3,Golden Jubilee,Medical Grouping,2636,2292,28.652173913043477,24.91304347826087,86.94992412746588
2017-10-01,Q4,Golden Jubilee,Medical Grouping,2769,2446,30.097826086956523,26.58695652173913,88.33513903936438
2018-01-01,Q1,Golden Jubilee,Medical Grouping,2554,2209,28.377777777777776,24.544444444444444,86.4917776037588
2018-04-01,Q2,Golden Jubilee,Medical Grouping,2748,2468,30.197802197802197,27.12087912087912,89.81077147016012
2018-07-01,Q3,Golden Jubilee,Medical Grouping,2886,2554,31.369565217391305,27.76086956521739,88.4961884961885
2018-10-01,Q4,Golden Jubilee,Medical Grouping,3078,2732,33.45652173913044,29.695652173913043,88.75893437296945
2019-01-01,Q1,Golden Jubilee,Medical Grouping,2942,2668,32.68888888888889,29.64444444444445,90.68660774983005
2019-04-01,Q2,Golden Jubilee,Medical Grouping,2776,2502,30.505494505494507,27.494505494505493,90.12968299711814
2019-07-01,Q3,Golden Jubilee,Medical Grouping,2874,2486,31.23913043478261,27.02173913043478,86.49965205288795
2019-10-01,Q4,Golden Jubilee,Medical Grouping,2731,2416,29.684782608695652,26.26086956521739,88.46576345660931
2020-01-01,Q1,Golden Jubilee,Medical Grouping,2836,2392,31.164835164835164,26.285714285714285,84.3441466854725
2020-04-01,Q2,Golden Jubilee,Medical Grouping,4547,3326,49.96703296703296,36.54945054945055,73.14712997580823
2020-07-01,Q3,Golden Jubilee,Medical Grouping,4227,3126,45.94565217391305,33.97826086956522,73.95315826827536
2020-10-01,Q4,Golden Jubilee,Medical Grouping,3771,2649,40.98913043478261,28.793478260869566,70.24661893396977
2021-01-01,Q1,Golden Jubilee,Medical Grouping,4396,3198,48.84444444444444,35.53333333333333,72.74795268425842
2021-04-01,Q2,Golden Jubilee,Medical Grouping,3587,3305,39.417582417582416,36.31868131868132,92.1382771117926
2018-04-01,Q2,Golden Jubilee,Ophthalmology,1,1,0.01098901098901099,0.01098901098901099,100
2018-07-01,Q3,Golden Jubilee,Ophthalmology,2,2,0.0217391304347826,0.0217391304347826,100
2021-01-01,Q1,Golden Jubilee,Oral Surgery,7,7,0.07777777777777778,0.07777777777777778,100
2021-04-01,Q2,Golden Jubilee,Oral Surgery,2,2,0.02197802197802198,0.02197802197802198,100
2016-04-01,Q2,Golden Jubilee,Plastic Surgery,7,7,0.07692307692307693,0.07692307692307693,100
2016-07-01,Q3,Golden Jubilee,Plastic Surgery,10,10,0.10869565217391304,0.10869565217391304,100
2016-10-01,Q4,Golden Jubilee,Plastic Surgery,12,12,0.13043478260869565,0.13043478260869565,100
2017-01-01,Q1,Golden Jubilee,Plastic Surgery,23,23,0.25555555555555554,0.25555555555555554,100
2017-04-01,Q2,Golden Jubilee,Plastic Surgery,9,9,0.0989010989010989,0.0989010989010989,100
2017-07-01,Q3,Golden Jubilee,Plastic Surgery,11,11,0.11956521739130437,0.11956521739130437,100
2017-10-01,Q4,Golden Jubilee,Plastic Surgery,10,10,0.10869565217391304,0.10869565217391304,100
2018-01-01,Q1,Golden Jubilee,Plastic Surgery,12,12,0.13333333333333333,0.13333333333333333,100
2018-04-01,Q2,Golden Jubilee,Plastic Surgery,9,9,0.0989010989010989,0.0989010989010989,100
2018-07-01,Q3,Golden Jubilee,Plastic Surgery,4,4,0.04347826086956521,0.04347826086956521,100
2018-10-01,Q4,Golden Jubilee,Plastic Surgery,1,1,0.0108695652173913,0.0108695652173913,100
2020-04-01,Q2,Golden Jubilee,Plastic Surgery,3,3,0.03296703296703297,0.03296703296703297,100
2020-07-01,Q3,Golden Jubilee,Plastic Surgery,5,5,0.05434782608695652,0.05434782608695652,100
2021-01-01,Q1,Golden Jubilee,Plastic Surgery,16,16,0.17777777777777778,0.17777777777777778,100
2021-04-01,Q2,Golden Jubilee,Plastic Surgery,6,6,0.06593406593406594,0.06593406593406594,100
2016-04-01,Q2,Golden Jubilee,Respiratory Medicine,146,146,1.6043956043956045,1.6043956043956045,100
2016-07-01,Q3,Golden Jubilee,Respiratory Medicine,119,119,1.2934782608695652,1.2934782608695652,100
2016-10-01,Q4,Golden Jubilee,Respiratory Medicine,119,114,1.2934782608695652,1.2391304347826086,95.7983193277311
2017-01-01,Q1,Golden Jubilee,Respiratory Medicine,123,122,1.3666666666666667,1.3555555555555556,99.1869918699187
2017-04-01,Q2,Golden Jubilee,Respiratory Medicine,136,132,1.4945054945054943,1.4505494505494505,97.05882352941175
2017-07-01,Q3,Golden Jubilee,Respiratory Medicine,144,144,1.565217391304348,1.565217391304348,100
2017-10-01,Q4,Golden Jubilee,Respiratory Medicine,134,134,1.4565217391304348,1.4565217391304348,100
2018-01-01,Q1,Golden Jubilee,Respiratory Medicine,159,159,1.7666666666666666,1.7666666666666666,100
2018-04-01,Q2,Golden Jubilee,Respiratory Medicine,174,174,1.912087912087912,1.912087912087912,100
2018-07-01,Q3,Golden Jubilee,Respiratory Medicine,158,158,1.7173913043478262,1.7173913043478262,100
2018-10-01,Q4,Golden Jubilee,Respiratory Medicine,158,158,1.7173913043478262,1.7173913043478262,100
2019-01-01,Q1,Golden Jubilee,Respiratory Medicine,185,185,2.0555555555555554,2.0555555555555554,100
2019-04-01,Q2,Golden Jubilee,Respiratory Medicine,139,139,1.5274725274725274,1.5274725274725274,100
2019-07-01,Q3,Golden Jubilee,Respiratory Medicine,134,134,1.4565217391304348,1.4565217391304348,100
2019-10-01,Q4,Golden Jubilee,Respiratory Medicine,140,140,1.5217391304347827,1.5217391304347827,100
2020-01-01,Q1,Golden Jubilee,Respiratory Medicine,144,144,1.5824175824175823,1.5824175824175823,100
2020-04-01,Q2,Golden Jubilee,Respiratory Medicine,32,32,0.3516483516483517,0.3516483516483517,100
2020-07-01,Q3,Golden Jubilee,Respiratory Medicine,115,115,1.25,1.25,100
2020-10-01,Q4,Golden Jubilee,Respiratory Medicine,104,101,1.1304347826086956,1.0978260869565215,97.11538461538464
2021-01-01,Q1,Golden Jubilee,Respiratory Medicine,118,110,1.3111111111111111,1.2222222222222223,93.22033898305084
2021-04-01,Q2,Golden Jubilee,Respiratory Medicine,139,139,1.5274725274725274,1.5274725274725274,100
2016-04-01,Q2,Golden Jubilee,Surgery Grouping,13470,10094,148.021978021978,110.92307692307692,74.93689680772087
2016-07-01,Q3,Golden Jubilee,Surgery Grouping,13802,10096,150.02173913043478,109.7391304347826,73.14881901173743
2016-10-01,Q4,Golden Jubilee,Surgery Grouping,13555,9773,147.33695652173913,106.22826086956522,72.09885651051273
2017-01-01,Q1,Golden Jubilee,Surgery Grouping,13193,9415,146.5888888888889,104.61111111111111,71.36360191010384
2017-04-01,Q2,Golden Jubilee,Surgery Grouping,12907,9214,141.83516483516485,101.25274725274726,71.38761912140698
2017-07-01,Q3,Golden Jubilee,Surgery Grouping,12790,9366,139.02173913043478,101.80434782608695,73.22908522283034
2017-10-01,Q4,Golden Jubilee,Surgery Grouping,13390,9988,145.54347826086956,108.56521739130434,74.59297983569829
2018-01-01,Q1,Golden Jubilee,Surgery Grouping,13127,9662,145.85555555555555,107.35555555555555,73.60402224422945
2018-04-01,Q2,Golden Jubilee,Surgery Grouping,13069,9881,143.6153846153846,108.58241758241758,75.60639681689494
2018-07-01,Q3,Golden Jubilee,Surgery Grouping,12920,9836,140.43478260869566,106.91304347826087,76.13003095975233
2018-10-01,Q4,Golden Jubilee,Surgery Grouping,11774,9033,127.97826086956522,98.18478260869566,76.71989128588416
2019-01-01,Q1,Golden Jubilee,Surgery Grouping,11841,8986,131.56666666666666,99.84444444444443,75.88886073811334
2019-04-01,Q2,Golden Jubilee,Surgery Grouping,12153,9395,133.54945054945054,103.24175824175823,77.30601497572617
2019-07-01,Q3,Golden Jubilee,Surgery Grouping,12518,9581,136.06521739130434,104.1413043478261,76.5377855887522
2019-10-01,Q4,Golden Jubilee,Surgery Grouping,12872,9243,139.91304347826087,100.46739130434784,71.80702299564948
2020-01-01,Q1,Golden Jubilee,Surgery Grouping,12060,8523,132.52747252747253,93.65934065934066,70.67164179104478
2020-04-01,Q2,Golden Jubilee,Surgery Grouping,9819,4775,107.9010989010989,52.472527472527474,48.63020674203076
2020-07-01,Q3,Golden Jubilee,Surgery Grouping,11215,6808,121.90217391304348,74,60.70441373160945
2020-10-01,Q4,Golden Jubilee,Surgery Grouping,11894,8515,129.2826086956522,92.55434782608695,71.5907180090802
2021-01-01,Q1,Golden Jubilee,Surgery Grouping,12151,8862,135.01111111111112,98.46666666666668,72.93226894905769
2021-04-01,Q2,Golden Jubilee,Surgery Grouping,12572,8964,138.15384615384616,98.50549450549453,71.30130448615972
2016-04-01,Q2,Golden Jubilee,Trauma and Orthopaedic Surgery,5486,4629,60.285714285714285,50.86813186813187,84.37841779074007
2016-07-01,Q3,Golden Jubilee,Trauma and Orthopaedic Surgery,5748,4584,62.47826086956522,49.82608695652174,79.74947807933195
2016-10-01,Q4,Golden Jubilee,Trauma and Orthopaedic Surgery,5427,4112,58.98913043478261,44.69565217391305,75.76930163994841
2017-01-01,Q1,Golden Jubilee,Trauma and Orthopaedic Surgery,5329,4088,59.21111111111111,45.422222222222224,76.7123287671233
2017-04-01,Q2,Golden Jubilee,Trauma and Orthopaedic Surgery,5252,3722,57.714285714285715,40.9010989010989,70.86824067022086
2017-07-01,Q3,Golden Jubilee,Trauma and Orthopaedic Surgery,5039,3738,54.77173913043478,40.630434782608695,74.18138519547529
2017-10-01,Q4,Golden Jubilee,Trauma and Orthopaedic Surgery,5535,4263,60.16304347826087,46.33695652173913,77.0189701897019
2018-01-01,Q1,Golden Jubilee,Trauma and Orthopaedic Surgery,5262,3720,58.46666666666667,41.333333333333336,70.69555302166476
2018-04-01,Q2,Golden Jubilee,Trauma and Orthopaedic Surgery,5190,3768,57.03296703296704,41.40659340659341,72.60115606936417
2018-07-01,Q3,Golden Jubilee,Trauma and Orthopaedic Surgery,5172,3853,56.21739130434783,41.880434782608695,74.49729311678267
2018-10-01,Q4,Golden Jubilee,Trauma and Orthopaedic Surgery,4503,3441,48.94565217391305,37.40217391304348,76.41572285143236
2019-01-01,Q1,Golden Jubilee,Trauma and Orthopaedic Surgery,4572,3303,50.8,36.7,72.24409448818898
2019-04-01,Q2,Golden Jubilee,Trauma and Orthopaedic Surgery,4681,3163,51.43956043956044,34.75824175824176,67.57103183080538
2019-07-01,Q3,Golden Jubilee,Trauma and Orthopaedic Surgery,4840,3350,52.608695652173914,36.41304347826087,69.21487603305785
2019-10-01,Q4,Golden Jubilee,Trauma and Orthopaedic Surgery,4948,3031,53.78260869565217,32.94565217391305,61.2570735650768
2020-01-01,Q1,Golden Jubilee,Trauma and Orthopaedic Surgery,4519,2640,49.65934065934066,29.01098901098901,58.42000442575791
2020-04-01,Q2,Golden Jubilee,Trauma and Orthopaedic Surgery,1997,551,21.945054945054945,6.054945054945055,27.591387080620933
2020-07-01,Q3,Golden Jubilee,Trauma and Orthopaedic Surgery,2777,1198,30.184782608695652,13.021739130434783,43.140079222182216
2020-10-01,Q4,Golden Jubilee,Trauma and Orthopaedic Surgery,4475,2681,48.641304347826086,29.14130434782609,59.910614525139664
2021-01-01,Q1,Golden Jubilee,Trauma and Orthopaedic Surgery,4413,3273,49.03333333333333,36.36666666666667,74.16723317471109
2021-04-01,Q2,Golden Jubilee,Trauma and Orthopaedic Surgery,3794,3243,41.69230769230769,35.637362637362635,85.47706905640484
2018-04-01,Q2,Golden Jubilee,Urology,2,2,0.02197802197802198,0.02197802197802198,100
2019-04-01,Q2,Golden Jubilee,Urology,1,1,0.01098901098901099,0.01098901098901099,100
2020-04-01,Q2,Golden Jubilee,Urology,87,87,0.956043956043956,0.956043956043956,100
2020-07-01,Q3,Golden Jubilee,Urology,153,153,1.6630434782608696,1.6630434782608696,100
2020-10-01,Q4,Golden Jubilee,Urology,232,232,2.5217391304347827,2.5217391304347827,100
2021-01-01,Q1,Golden Jubilee,Urology,143,143,1.5888888888888888,1.5888888888888888,100
2021-04-01,Q2,Golden Jubilee,Urology,156,156,1.7142857142857142,1.7142857142857142,100
2020-04-01,Q2,Golden Jubilee,Women and Newborn Grouping,51,51,0.5604395604395604,0.5604395604395604,100
2020-07-01,Q3,Golden Jubilee,Women and Newborn Grouping,82,82,0.8913043478260869,0.8913043478260869,100
2020-10-01,Q4,Golden Jubilee,Women and Newborn Grouping,91,91,0.9891304347826086,0.9891304347826086,100
2021-01-01,Q1,Golden Jubilee,Women and Newborn Grouping,83,83,0.9222222222222224,0.9222222222222224,100
2021-04-01,Q2,Golden Jubilee,Women and Newborn Grouping,79,79,0.8681318681318682,0.8681318681318682,100
2016-04-01,Q2,Ayrshire & Arran,Accident & Emergency,396,252,4.351648351648351,2.769230769230769,63.63636363636363
2016-07-01,Q3,Ayrshire & Arran,Accident & Emergency,345,249,3.75,2.7065217391304346,72.17391304347825
2016-10-01,Q4,Ayrshire & Arran,Accident & Emergency,323,200,3.510869565217391,2.1739130434782608,61.91950464396285
2017-01-01,Q1,Ayrshire & Arran,Accident & Emergency,373,269,4.144444444444445,2.988888888888889,72.11796246648792
2017-04-01,Q2,Ayrshire & Arran,Accident & Emergency,404,404,4.43956043956044,4.43956043956044,100
2017-07-01,Q3,Ayrshire & Arran,Accident & Emergency,388,388,4.217391304347826,4.217391304347826,100
2017-10-01,Q4,Ayrshire & Arran,Accident & Emergency,346,346,3.760869565217391,3.760869565217391,100
